cif_number,product,precision,score
10824196,Mor. Tamouil Hajyat,0.9,0.706564
10833047,MC PREPAID VOYAGE,0.763158,0.701883
10837788,MC PREPAID VOYAGE,0.894737,0.706563
10842838,MC PREPAID VOYAGE,0.8,0.703154
10844114,MC PREPAID VOYAGE,0.894737,0.706563
10848123,NATIONAL CLIENTELLE,0.78125,0.703597
10853768,MC PREPAID VOYAGE,0.894737,0.706563
10865215,MC PREPAID VOYAGE,0.8,0.703154
10880696,Mor. Tamouil Hajyat,0.9,0.706564
10893345,Mor. Tamouil Hajyat,0.9,0.706564
10908784,Mor. Tamouil Hajyat,0.9,0.706564
10981655,NATIONAL CLIENTELLE,0.78125,0.703597
11011706,Mor. Tamouil Hajyat,0.9,0.706564
10065436,MC PREPAID VOYAGE,0.727273,0.699113
10078849,MC PREPAID VOYAGE,0.758621,0.701374
10083885,PRODUIT GOLD,0.75,0.70036
10086252,NATIONAL CLIENTELLE,0.8,0.703137
10096774,MC PREPAID VOYAGE,0.727273,0.699113
10103395,MC PREPAID VOYAGE,0.758621,0.701374
10107739,MC PREPAID VOYAGE,1.0,0.707397
10109602,NATIONAL CLIENTELLE,0.78125,0.703597
10127502,MC PREPAID VOYAGE,1.0,0.707397
10147029,MC PREPAID VOYAGE,1.0,0.707397
10151041,MC PREPAID VOYAGE,0.727273,0.699113
10175168,MC PREPAID VOYAGE,1.0,0.707397
10178137,NATIONAL CLIENTELLE,1.0,0.707325
10206544,MC PREPAID VOYAGE,0.785714,0.702512
10207222,MC PREPAID VOYAGE,0.75,0.700503
10210886,MC PREPAID VOYAGE,0.727273,0.699113
10215794,MC PREPAID VOYAGE,0.727273,0.699113
10223094,MC PREPAID VOYAGE,1.0,0.707397
10240580,MC PREPAID VOYAGE,1.0,0.707397
10250794,MC PREPAID VOYAGE,0.727273,0.699113
10264767,MC PREPAID VOYAGE,0.763158,0.701883
10265193,MC PREPAID VOYAGE,0.763158,0.701883
10268355,MC PREPAID VOYAGE,0.763158,0.701883
10268761,MC PREPAID VOYAGE,0.763158,0.701883
10273230,MC PREPAID VOYAGE,0.763158,0.701883
10273874,MC PREPAID VOYAGE,0.701493,0.698355
10277987,NATIONAL CLIENTELLE,0.78125,0.703597
10284102,MC PREPAID VOYAGE,0.701493,0.698355
10287814,MC PREPAID VOYAGE,0.763158,0.701883
10289564,MC PREPAID VOYAGE,0.763158,0.701883
10289988,MC PREPAID VOYAGE,0.763158,0.701883
10292252,MC PREPAID VOYAGE,0.763158,0.701883
10298491,MC PREPAID VOYAGE,0.763158,0.701883
10301508,MC PREPAID VOYAGE,0.763158,0.701883
10304202,MC PREPAID VOYAGE,0.701493,0.698355
10305060,MC PREPAID VOYAGE,0.701493,0.698355
10306282,MC PREPAID VOYAGE,0.701493,0.698355
10307810,MC PREPAID VOYAGE,0.701493,0.698355
10308170,MC PREPAID VOYAGE,0.763158,0.701883
10310171,MC PREPAID VOYAGE,0.701493,0.698355
10311019,MC PREPAID VOYAGE,0.701493,0.698355
10312180,MC PREPAID VOYAGE,0.763158,0.701883
10312746,MC PREPAID VOYAGE,0.75,0.700503
10313755,MC PREPAID VOYAGE,0.763158,0.701883
10314102,NATIONAL CLIENTELLE,0.75,0.700413
10315867,MC PREPAID VOYAGE,0.763158,0.701883
10317913,MC PREPAID VOYAGE,0.763158,0.701883
10319286,MC PREPAID VOYAGE,0.763158,0.701883
10319466,MC PREPAID VOYAGE,0.701493,0.698355
10323261,NATIONAL CLIENTELLE,0.9,0.706472
10323329,MC PREPAID VOYAGE,0.894737,0.706563
10323473,MC PREPAID VOYAGE,0.894737,0.706563
10327937,MC PREPAID VOYAGE,0.894737,0.706563
10329305,MC PREPAID VOYAGE,0.701493,0.698355
10332508,MC PREPAID VOYAGE,0.763158,0.701883
10333492,MC PREPAID VOYAGE,0.894737,0.706563
10333748,MC PREPAID VOYAGE,0.701493,0.698355
10334665,MC PREPAID VOYAGE,0.763158,0.701883
10336408,MC PREPAID VOYAGE,0.763158,0.701883
10338520,MC PREPAID VOYAGE,0.701493,0.698355
10343201,MC PREPAID VOYAGE,0.701493,0.698355
10343863,MC PREPAID VOYAGE,0.701493,0.698355
10347359,MC PREPAID VOYAGE,0.763158,0.701883
10360736,MC PREPAID VOYAGE,0.701493,0.698355
10368036,NATIONAL CLIENTELLE,0.833333,0.704601
10369100,NATIONAL CLIENTELLE,0.857143,0.705306
10373997,NATIONAL CLIENTELLE,0.705882,0.697372
10397407,NATIONAL CLIENTELLE,0.9,0.706472
10407989,MC PREPAID VOYAGE,0.758621,0.701374
10414413,NATIONAL CLIENTELLE,0.954545,0.707544
10441813,NATIONAL CLIENTELLE,0.954545,0.707544
10448251,NATIONAL CLIENTELLE,0.9,0.706472
10449020,NATIONAL CLIENTELLE,0.75,0.700413
10451529,MC PREPAID VOYAGE,0.763158,0.701883
10456582,MC PREPAID VOYAGE,0.763158,0.701883
10463261,PRODUIT GOLD,1.0,0.707337
10464477,NATIONAL CLIENTELLE,0.888889,0.706206
10468678,MC PREPAID VOYAGE,0.763158,0.701883
10471879,NATIONAL CLIENTELLE,0.8,0.703137
10480663,MC PREPAID VOYAGE,0.701493,0.698355
10487473,NATIONAL CLIENTELLE,0.857143,0.705306
10493949,NATIONAL CLIENTELLE,0.8,0.703137
10504448,MC PREPAID VOYAGE,0.75,0.700503
10505689,NATIONAL CLIENTELLE,0.78125,0.703597
10516415,MC PREPAID VOYAGE,0.75,0.700503
10520262,NATIONAL CLIENTELLE,0.714286,0.697956
10522667,NATIONAL CLIENTELLE,0.8,0.703137
10525180,MC PREPAID JEUNE,0.833333,0.704975
10550678,NATIONAL CLIENTELLE,0.75,0.700413
10551897,NATIONAL CLIENTELLE,0.827586,0.704815
10556816,NATIONAL CLIENTELLE,1.0,0.707325
10573646,MC PREPAID VOYAGE,0.758621,0.701374
10574867,MC PREPAID JEUNE,0.833333,0.704975
10577320,PRODUIT GOLD,1.0,0.707337
10586145,NATIONAL CLIENTELLE,0.705882,0.697372
10589740,MC PREPAID VOYAGE,0.758621,0.701374
10598697,MC PREPAID VOYAGE,0.785714,0.702512
10600922,PRODUIT GOLD,1.0,0.707337
10604836,NATIONAL CLIENTELLE,0.714286,0.697956
10607244,NATIONAL CLIENTELLE,0.78125,0.703597
10607748,MC PREPAID VOYAGE,0.894737,0.706563
10608333,NATIONAL CLIENTELLE,0.805556,0.704063
10608441,NATIONAL CLIENTELLE,0.794872,0.703637
10608894,MC PREPAID VOYAGE,0.763158,0.701883
10621839,MC PREPAID VOYAGE,0.894737,0.706563
10625393,NATIONAL CLIENTELLE,1.0,0.707325
10627132,MC PREPAID VOYAGE,0.763158,0.701883
10637401,MC PREPAID VOYAGE,0.894737,0.706563
10639272,MC PREPAID VOYAGE,0.894737,0.706563
10641813,MC PREPAID VOYAGE,0.894737,0.706563
10643452,MC PREPAID VOYAGE,0.894737,0.706563
10645341,MC PREPAID VOYAGE,0.894737,0.706563
10647320,NATIONAL CLIENTELLE,0.954545,0.707544
10649887,NATIONAL CLIENTELLE,0.752381,0.70302
10650141,MC PREPAID VOYAGE,0.758621,0.701374
10651964,MC PREPAID VOYAGE,0.875,0.70583
10653197,MC PREPAID VOYAGE,0.764706,0.701424
10654051,MC PREPAID VOYAGE,0.875,0.70583
10655621,NATIONAL CLIENTELLE,0.805556,0.704063
10656040,MC PREPAID VOYAGE,0.763158,0.701883
10656800,MC PREPAID VOYAGE,0.875,0.70583
10657219,MC PREPAID VOYAGE,0.701493,0.698355
10658578,MC PREPAID VOYAGE,0.758621,0.701374
10661374,MC PREPAID VOYAGE,0.758621,0.701374
10661763,NATIONAL CLIENTELLE,0.805556,0.704063
10662103,MC PREPAID VOYAGE,0.758621,0.701374
10662472,MC PREPAID VOYAGE,0.875,0.70583
10669340,MC PREPAID VOYAGE,0.875,0.70583
10671227,MC PREPAID VOYAGE,0.894737,0.706563
10684283,MC PREPAID VOYAGE,0.894737,0.706563
10685883,MC PREPAID VOYAGE,0.763158,0.701883
10686611,MC PREPAID VOYAGE,0.764706,0.701424
10687241,MC PREPAID VOYAGE,0.8,0.703154
10690058,MC PREPAID VOYAGE,0.875,0.70583
10691063,MC PREPAID VOYAGE,0.875,0.70583
10694632,MC PREPAID VOYAGE,0.764706,0.701424
10698248,MC PREPAID VOYAGE,0.875,0.70583
10699049,MC PREPAID VOYAGE,0.758621,0.701374
10699605,Mor. Tamouil Hajyat,0.9,0.706564
10701622,MC PREPAID VOYAGE,0.894737,0.706563
10702269,MC PREPAID VOYAGE,0.701493,0.698355
10705846,NATIONAL CLIENTELLE,0.9,0.706472
10714379,MC PREPAID VOYAGE,0.8,0.703154
10714701,MC PREPAID VOYAGE,0.763158,0.701883
10715693,MC PREPAID VOYAGE,0.894737,0.706563
10719976,MC PREPAID VOYAGE,0.875,0.70583
10721909,MC PREPAID VOYAGE,0.875,0.70583
10723627,MC PREPAID VOYAGE,0.875,0.70583
10724877,MC PREPAID VOYAGE,0.8,0.703154
10727557,MC PREPAID VOYAGE,0.875,0.70583
10727854,MC PREPAID VOYAGE,0.764706,0.701424
10730102,MC PREPAID VOYAGE,0.758621,0.701374
10732642,MC PREPAID VOYAGE,0.8,0.703154
10732720,MC PREPAID VOYAGE,0.758621,0.701374
10736456,MC PREPAID VOYAGE,0.8,0.703154
10737171,MC PREPAID VOYAGE,0.758621,0.701374
10737225,MC PREPAID VOYAGE,0.875,0.70583
10740168,MC PREPAID VOYAGE,0.875,0.70583
10740712,NATIONAL CLIENTELLE,0.827586,0.704815
10741125,Mor. Tamouil Hajyat,0.9,0.706564
10741503,MC PREPAID VOYAGE,0.763158,0.701883
10744677,MC PREPAID VOYAGE,0.701493,0.698355
10747229,MC PREPAID VOYAGE,0.875,0.70583
10747548,MC PREPAID VOYAGE,0.8,0.703154
10748105,MC PREPAID VOYAGE,0.894737,0.706563
10749345,MC PREPAID VOYAGE,0.894737,0.706563
10750645,MC PREPAID VOYAGE,0.8,0.703154
10750671,MC PREPAID VOYAGE,0.764706,0.701424
10751661,MC PREPAID VOYAGE,0.8,0.703154
10752024,MC PREPAID VOYAGE,0.875,0.70583
10753809,MC PREPAID VOYAGE,0.8,0.703154
10757070,MC PREPAID VOYAGE,0.701493,0.698355
10757789,MC PREPAID VOYAGE,0.8,0.703154
10760005,NATIONAL CLIENTELLE,1.0,0.707325
10761528,NATIONAL CLIENTELLE,0.805556,0.704063
10766998,MC PREPAID VOYAGE,0.764706,0.701424
10771409,MC PREPAID VOYAGE,0.894737,0.706563
10772169,MC PREPAID VOYAGE,0.8,0.703154
10774345,MC PREPAID VOYAGE,0.8,0.703154
10778468,MC PREPAID VOYAGE,0.875,0.70583
10780958,MC PREPAID VOYAGE,0.875,0.70583
10785663,MC PREPAID VOYAGE,0.701493,0.698355
10790530,MC PREPAID VOYAGE,0.894737,0.706563
10791547,MC PREPAID VOYAGE,0.763158,0.701883
10795156,MC PREPAID VOYAGE,0.764706,0.701424
10796838,MC PREPAID VOYAGE,0.875,0.70583
10798149,MC PREPAID VOYAGE,0.894737,0.706563
10799841,MC PREPAID VOYAGE,0.8,0.703154
10801101,MC PREPAID VOYAGE,0.8,0.703154
10801389,MC PREPAID VOYAGE,0.8,0.703154
10801452,NATIONAL CLIENTELLE,0.827586,0.704815
10804183,MC PREPAID VOYAGE,0.894737,0.706563
10807973,MC PREPAID VOYAGE,0.875,0.70583
10813069,Mor. Tamouil Hajyat,0.9,0.706564
10814301,MC PREPAID VOYAGE,0.8,0.703154
10821916,MC PREPAID VOYAGE,0.894737,0.706563
10822211,MC PREPAID VOYAGE,0.8,0.703154
10823268,MC PREPAID VOYAGE,0.764706,0.701424
10830951,MC PREPAID VOYAGE,0.763158,0.701883
10833563,NATIONAL CLIENTELLE,1.0,0.707325
10855675,MC PREPAID VOYAGE,0.701493,0.698355
10859016,MC PREPAID VOYAGE,0.8,0.703154
10872169,NATIONAL CLIENTELLE,0.8,0.703137
10882526,MC PREPAID VOYAGE,0.894737,0.706563
10882933,Mor. Tamouil Hajyat,0.9,0.706564
10885691,MC PREPAID VOYAGE,0.701493,0.698355
10888226,NATIONAL CLIENTELLE,0.78125,0.703597
10888816,NATIONAL CLIENTELLE,0.752381,0.70302
10889578,Mor. Tamouil Hajyat,0.9,0.706564
10900235,NATIONAL CLIENTELLE,0.78125,0.703597
10950445,Mor. Tamouil Hajyat,0.9,0.706564
10958149,NATIONAL CLIENTELLE,1.0,0.707325
10999105,NATIONAL CLIENTELLE,1.0,0.707325
11002664,Mor. Tamouil Hajyat,0.9,0.706564
10040261,NATIONAL CLIENTELLE,0.954545,0.707544
10052684,MC PREPAID VOYAGE,1.0,0.707397
10060694,MC PREPAID VOYAGE,0.727273,0.699113
10063481,MC PREPAID VOYAGE,1.0,0.707397
10078012,MC PREPAID VOYAGE,0.758621,0.701374
10103997,MC PREPAID VOYAGE,0.727273,0.699113
10110629,MC PREPAID VOYAGE,0.727273,0.699113
10126900,MC PREPAID VOYAGE,1.0,0.707397
10127873,MC PREPAID VOYAGE,0.727273,0.699113
10136097,MC PREPAID VOYAGE,1.0,0.707397
10137904,MC PREPAID VOYAGE,1.0,0.707397
10138788,MC PREPAID VOYAGE,1.0,0.707397
10139041,MC PREPAID VOYAGE,0.727273,0.699113
10143644,MC PREPAID VOYAGE,0.727273,0.699113
10149219,MC PREPAID VOYAGE,1.0,0.707397
10168523,MC PREPAID VOYAGE,0.785714,0.702512
10170256,MC PREPAID VOYAGE,0.75,0.700503
10185695,NATIONAL CLIENTELLE,0.75,0.700413
10195981,MC PREPAID VOYAGE,1.0,0.707397
10203081,MC PREPAID VOYAGE,1.0,0.707397
10216516,MC PREPAID VOYAGE,1.0,0.707397
10225201,MC PREPAID VOYAGE,0.727273,0.699113
10232379,MC PREPAID VOYAGE,1.0,0.707397
10244263,NATIONAL CLIENTELLE,0.857143,0.705306
10245367,NATIONAL CLIENTELLE,0.75,0.700413
10249150,MC PREPAID VOYAGE,0.727273,0.699113
10251559,NATIONAL CLIENTELLE,0.857143,0.705306
10253114,MC PREPAID VOYAGE,0.727273,0.699113
10259398,NATIONAL CLIENTELLE,1.0,0.707325
10264967,MC PREPAID VOYAGE,0.763158,0.701883
10265045,MC PREPAID VOYAGE,0.701493,0.698355
10265401,NATIONAL CLIENTELLE,0.9,0.706472
10266489,MC PREPAID VOYAGE,0.701493,0.698355
10268814,MC PREPAID VOYAGE,0.701493,0.698355
10269160,NATIONAL CLIENTELLE,0.9,0.706472
10269879,MC PREPAID VOYAGE,0.763158,0.701883
10270008,MC PREPAID VOYAGE,0.763158,0.701883
10270598,MC PREPAID VOYAGE,0.763158,0.701883
10270939,MC PREPAID VOYAGE,0.701493,0.698355
10271141,MC PREPAID VOYAGE,0.763158,0.701883
10275554,MC PREPAID VOYAGE,0.763158,0.701883
10278418,MC PREPAID VOYAGE,0.701493,0.698355
10281952,NATIONAL CLIENTELLE,1.0,0.707325
10284900,MC PREPAID VOYAGE,0.894737,0.706563
10288271,MC PREPAID VOYAGE,0.763158,0.701883
10290474,MC PREPAID VOYAGE,0.894737,0.706563
10292732,MC PREPAID VOYAGE,0.701493,0.698355
10293834,MC PREPAID VOYAGE,0.894737,0.706563
10293881,MC PREPAID VOYAGE,0.763158,0.701883
10295663,MC PREPAID VOYAGE,0.763158,0.701883
10299187,MC PREPAID VOYAGE,0.701493,0.698355
10303632,MC PREPAID VOYAGE,0.763158,0.701883
10305076,MC PREPAID VOYAGE,0.763158,0.701883
10306060,MC PREPAID VOYAGE,0.894737,0.706563
10306128,MC PREPAID VOYAGE,0.894737,0.706563
10308527,MC PREPAID VOYAGE,0.894737,0.706563
10312914,MC PREPAID VOYAGE,0.763158,0.701883
10313516,MC PREPAID VOYAGE,0.894737,0.706563
10322644,MC PREPAID VOYAGE,0.894737,0.706563
10324033,MC PREPAID VOYAGE,0.701493,0.698355
10324065,MC PREPAID VOYAGE,0.763158,0.701883
10324793,NATIONAL CLIENTELLE,0.9,0.706472
10325627,MC PREPAID VOYAGE,0.763158,0.701883
10331022,MC PREPAID VOYAGE,0.894737,0.706563
10332579,NATIONAL CLIENTELLE,0.9,0.706472
10333916,MC PREPAID VOYAGE,0.894737,0.706563
10334740,NATIONAL CLIENTELLE,0.833333,0.704907
10341433,MC PREPAID VOYAGE,0.763158,0.701883
10341770,MC PREPAID VOYAGE,0.763158,0.701883
10346770,NATIONAL CLIENTELLE,0.78125,0.703597
10354484,NATIONAL CLIENTELLE,0.78125,0.703597
10359269,MC PREPAID VOYAGE,0.75,0.700503
10380042,MC PREPAID VOYAGE,0.758621,0.701374
10393888,NATIONAL CLIENTELLE,0.833333,0.704907
10429328,MC PREPAID VOYAGE,0.75,0.700503
10435996,NATIONAL CLIENTELLE,0.888889,0.706206
10465156,NATIONAL CLIENTELLE,0.75,0.700413
10471749,NATIONAL CLIENTELLE,0.75,0.700413
10479073,NATIONAL CLIENTELLE,0.805556,0.704063
10479093,MC PREPAID VOYAGE,0.763158,0.701883
10492636,NATIONAL CLIENTELLE,0.857143,0.705306
10498066,NATIONAL CLIENTELLE,0.714286,0.697956
10522516,NATIONAL CLIENTELLE,0.75,0.700413
10522969,MC PREPAID VOYAGE,0.763158,0.701883
10544679,NATIONAL CLIENTELLE,0.794872,0.703637
10547702,NATIONAL CLIENTELLE,0.714286,0.697956
10561086,NATIONAL CLIENTELLE,0.954545,0.707544
10561288,PRODUIT GOLD,1.0,0.707337
10565322,MC PREPAID VOYAGE,0.894737,0.706563
10568748,MC PREPAID VOYAGE,0.758621,0.701374
10571703,NATIONAL CLIENTELLE,0.954545,0.707544
10583611,MC PREPAID VOYAGE,0.758621,0.701374
10592895,MC PREPAID VOYAGE,0.758621,0.701374
10596870,NATIONAL CLIENTELLE,0.714286,0.697956
10604170,MC PREPAID VOYAGE,0.701493,0.698355
10609475,NATIONAL CLIENTELLE,0.75,0.700413
10611893,NATIONAL CLIENTELLE,0.857143,0.705306
10612501,MC PREPAID VOYAGE,0.826087,0.704582
10613321,MC PREPAID VOYAGE,0.758621,0.701374
10613738,MC PREPAID VOYAGE,0.701493,0.698355
10617825,MC PREPAID VOYAGE,0.894737,0.706563
10619308,NATIONAL CLIENTELLE,0.714286,0.698147
10626255,MC PREPAID VOYAGE,0.894737,0.706563
10627742,MC PREPAID JEUNE,0.833333,0.704975
10639309,MC PREPAID VOYAGE,0.763158,0.701883
10640669,MC PREPAID VOYAGE,0.701493,0.698355
10641306,MC PREPAID VOYAGE,0.894737,0.706563
10647710,MC PREPAID VOYAGE,0.758621,0.701374
10651248,MC PREPAID VOYAGE,0.894737,0.706563
10651513,MC PREPAID VOYAGE,0.763158,0.701883
10653812,MC PREPAID VOYAGE,0.764706,0.701424
10654524,NATIONAL CLIENTELLE,0.78125,0.703597
10654869,MC PREPAID VOYAGE,0.8,0.703154
10659331,MC PREPAID VOYAGE,0.764706,0.701424
10660808,MC PREPAID VOYAGE,0.758621,0.701374
10661124,MC PREPAID VOYAGE,0.763158,0.701883
10661702,MC PREPAID VOYAGE,0.764706,0.701424
10662982,MC PREPAID VOYAGE,0.764706,0.701424
10664712,MC PREPAID VOYAGE,0.701493,0.698355
10665710,MC PREPAID VOYAGE,0.785714,0.702512
10667933,MC PREPAID VOYAGE,0.894737,0.706563
10676123,MC PREPAID VOYAGE,0.8,0.703154
10680016,MC PREPAID VOYAGE,0.894737,0.706563
10680584,NATIONAL CLIENTELLE,0.805556,0.704063
10682537,Mor. Tamouil Hajyat,0.9,0.706564
10682572,MC PREPAID VOYAGE,0.894737,0.706563
10682999,MC PREPAID VOYAGE,0.894737,0.706563
10686347,MC PREPAID VOYAGE,0.875,0.70583
10686721,MC PREPAID VOYAGE,0.758621,0.701374
10688463,MC PREPAID VOYAGE,0.701493,0.698355
10692603,MC PREPAID VOYAGE,0.763158,0.701883
10695551,MC PREPAID VOYAGE,0.758621,0.701374
10697452,MC PREPAID VOYAGE,0.875,0.70583
10698346,MC PREPAID VOYAGE,0.758621,0.701374
10701668,MC PREPAID VOYAGE,0.764706,0.701424
10702629,MC PREPAID VOYAGE,0.8,0.703154
10703786,MC PREPAID VOYAGE,0.894737,0.706563
10706291,MC PREPAID VOYAGE,0.894737,0.706563
10708369,MC PREPAID VOYAGE,0.763158,0.701883
10711299,Mor. Tamouil Hajyat,0.9,0.706564
10712357,MC PREPAID VOYAGE,0.764706,0.701424
10712357,NATIONAL CLIENTELLE,0.794872,0.703637
10715101,Mor. Tamouil Hajyat,0.9,0.706564
